sentence	source
ok so if i control the one and only cpu and i cannot be interrupted then i get to do everything inside the critical section until i give up the cpu ok so providing i don't make any system calls providing i'm just updating my data structure no one can stop me because i disabled into apps	['a struct', 'section', 'system', 'a struct', 'section', 'system', 'a struct', 'section', 'system', 'a struct', 'section', 'system', 'a struct', 'section', 'system', 'a struct', 'section', 'system']
ok so if we have a pointer to this type and this structure type which got a lot of information how do i pull out the individual parts of what's there in the memory remember we've got things like whether how big it is in other words the number of bytes that the user could actually store there well that's inside our size variable and whether this particular entry represents something which is available which is free or not ok so you'll notice i'm now using this little operator this kind of arrow thing which means hey go to some memory and don't treat it as just float or an integer instead i want you to use its type and inside that type there's an offset and so many bytes in order to be able to read this variable so when the compiler first saw this struct it needs to allocate offsets to each of these variables so for example it might be that the pointer start store at the very beginning of this struct area size might be saved four bytes eight bytes later free might be another say four bytes eight bytes later the compilers free to put some padding between variables so the alignment of each of these variables makes sense and realized that these entries just like member variables inside a c plus plus class or fields of a java object were going to coeur each time all we need to know is the base address of where that struct is going to start ok so right let's go have a look at this in so we need a little loop that says well so i'm looking at a valid entry in my linked list so keep going until i get to the end i need to consider the current apartment that i'm looking at is a good one so our first criteria and this is important of course is that it's currently free ok what else well we need to make sure that it's sufficiently large right so how can i write that ok let's get a little pen here right so we need to see if the	['memory', 'type', 'address', 'pointer']
ok so in one corner i have the child here that every two seconds is going to print out forty bytes out and then directly reads forty bytes from that address ok so organized and say is hey take this memory and send forty bytes of it directly to stand it out meanwhile my parent process is modifying the memory so let's use s printf to directly write to this memory address that we got back from a map and we will write the following formatted string will say hello from the other side and followed by a little number account here ok	['the following', 'memory', 'printf', 'string', 'address']
ok so let's get down here ok right so what do we do after this point ok when we escape out of here where a scaping out of here because fireworks is no longer no longer zero and the very first thing we do is call p three condition broadcast in other words ring that fire bell wake everybody up in this might be sleeping inside this condition variable ok so now all five of my threads	['thread', 'thread', 'thread', 'thread', 'thread', 'thread']
ok so let's play with race conditions and then fixing with blocks right so what do you think the following code is going to print here we have a counter variable which is global as you can see anybody can reach into it and read it or write it and in fact like a little function here that is going to loop looks like a million times and each time around the loop we're going to implement that counter now the value of eyes a stack variable which means i can create a whole load of threads and each one is going to get his own value of i but they are all picking at this global variable this countered so they're going to share access to that that variable right and then i've got some code on here peter create peter create and then two p thread joins so out of the two p thread joins we print out the value of counter right so what do you think about this code what's it going to print let's give it ago so i need to compile it ok i've compiled it off we go right it did not print out of course two million it we run it it just happy prints out different values each and every time so why do you think that is a key so actually there's two reasons the first one is because it the value that we get depends upon the actual interleaving of my two threads to how they do this increment so even though we plus plus hear	['the following', 'the loop', 'block', 'code', 'thread', 'the following', 'the loop', 'block', 'code', 'thread']
ok so let's play with race conditions and then fixing with locks right so what do you think the following code is going to print here we have a counter variable which is global as you can see anybody can reach into it and read it or write it and in fact like a little function here that is going to loop looks like a million times and each time around the loop we're going to implement that counter now the value of eyes a stack variable which means i can create a whole load of threads and each one is going to get his own value of i but they are all picking at this global variable this countered so they're going to share access to that that variable right and then i've got some code on here peter create peter create and then two p thread joins so out of the two p thread joins we print out the value of counter right so what do you think about this code what's it going to print let's give it ago so i need to compile it ok i've compiled it off we go right it did not print out of course two million it we run it it just happy prints out different values each and every time so why do you think that is a key so actually there's two reasons the first one is because it the value that we get depends upon the actual interleaving of my two threads to how they do this increment so even though we plus plus hear	['the following', 'the loop', 'code', 'thread']
ok so let's see what it does right it initializes the gui will check out in a little bit we call kelak and we seem to be getting enough memory to hold air these thirty two bit integers and we also going to have another way on the heap for all of our threats that we're going to have a height number of threads and each one is size of p thread t ok so again not a point it looks good so far right now i gotta comment could offer alright this is giving me a suspicion that we might have have a steak inside here somewhere that's how look so we call patty at create we've pass in the address of my thread away	['memory', 'the heap', 'thread', 'address']
ok so let's start talking about how we can improve a free so first of all just a reminder that now you can see that with realloc if we could actually access that link list when real work is called we can start writing a real lock which is faster but what can we do about free how can we make free faster right now we had an implication of free that walk through the linked list looking for that user pointer but had to be unallocated can we do better yes so here's how we can do it using an order one approach what we need to realize is that if we put in the metadata directly inside the heap as well then the following is always true that if this is the heap memory that the user is going to see then geass before to the different colour there we go	['the following', 'heap memory', 'memory', 'the heap', 'pointer']
ok so let's talk about why the nation part of the operating system here that is ass break now if we were to look at the manpage of s break you'd read something like the following s break increases the process is data segment by end bites so when you call s break you can give it a number and you can say hey i'd like ten more bytes please alright so what does that actually mean	['the following', 'system', 'the following', 'system', 'the following', 'system', 'the following', 'system']
ok so let's think about kind of a minimum implementation of what are this code might look like from the outside hey it just looks like a regular call but from the inside we actually need to construct a message so how could we do that well here's one way there's a call called ass print f which will get some heat memory for you automatically so it's a bit like sprint f meaning that it will write the output to some memory but in this case it will actually get some heat them before you the right amount and then tell you where that is so we just need to give it the address of a pointer and it will update that pointer force ok so we are going to send a little message to say hey this new score here's a name here's the score right and let's send that off and we better hope that the name does not contain a calmer because we're using commas to separate the fields here right so will call right in practice of course this would actually have to have some error checking in here here's a message and we want to send the entire message ok what do you think about this message plus one well that would mean ok start sending the message from the e so this is incorrect we actually want to send message but why why does this code say send everything plus one well if we're going to send messages we need a way to say hey at the message has finished and is typically two ways to do that either top of the message that started the message you say how long your messages or you have some kind of	['memory', 'code', 'address', 'pointer']
ok so maybe you know about threats so great you are able to chunk up the work into different jobs so that each thread is responsible for the output of the total result and so you need each thread to work independently great you say i remember those two forty one p right to the rescue that now i can tell my first thread to explicitly write its results into the first part of the file meanwhile the second thread over here is starting to generate results as well and so it can start writing bits of data over here and we can explicitly say where in the file we want that to go so yep there's pwrite and there's also pread which does a similar thing that you can read from a certain part of the file and directly specify an offset into the file so they are very useful when you want to to do random access and random reads into file but also later inside cs two forty one we're going to learn how to memory mapped files directly into memory where we no longer even need to call read and write but we can actually look at the file as if it is actually part of our address space so that's coming up later inside cs two forty one and it's the most one of the most far and most powerful features of posix and system programming that you'll see in this course so the will do what's a named pipe ok how do i make a named pipe for this you can actually make pipes on your file system you can just say make vivo because they behave as a little first in first out queue so let's call it say my queue kate and now if you look on the current directory you will see there's something called my queue so here it is looks a bit like a file right now but let's find out some more information about it ok and you'll see i've got a magic letter over here that actually it's a queue so i can put stuff into it let's say helico hello pipe that into my queue	['memory', 'thread', 'address', 'system']
ok so our code will fail at line ten the only way that we could start this code from failing at line ten would be if we swapped lines ten eleven because this is what we can do with pointers with pointers you can say hey pointer pointer something else and so if we swap those two lines around by calling malloc first we would have changed t one to now point to some brand new memory to some heap memory and we could have set that very first bite to an agent but we would not have created a string because of h of to be a c string would have to also have a zero bite after it and malik doesn't guarantee as anything about the memory that we actually get with that i'll see you next video for further next question by	['heap memory', 'memory', 'code', 'string', 'pointer']
ok so our code will fail at line ten the only way that we could stop this code from failing at line ten would be if we swapped lines ten eleven because this is what we can do with pointers with pointers you can say hey pointer point to something else and so if we swap those two lines around by calling malloc first we would have changed t one to now point to some brand new memory to some some heap memory and we could have set that very first bite to an h but we would not have created a string because the h of to be a c string would have to also have a zero bite after it and doesn't guarantee as anything about the memory that we actually get ok with that i'll see you next video for further next question by	['heap memory', 'memory', 'code', 'string', 'pointer']
ok so that was blocked splitting we can also do the opposite which is cur lessing blocks so let's go back in for a moment and have a look at our code here where we worked remember through are linked list finding a viable entry here and if we did we decided to mark that particular entry as unavailable and we return a pointer to that entry ok so i want you to imagine the following suppose	['the following', 'block', 'code', 'pointer']
ok so there's several things we want to be able to do we want to be able to create a new thread of execution and when we do that is very different from folk when we do this we want to be able to say ok start running from here so for example i might want to say right in the background i want to start running a thread that is going to mine bitcoin so please i'm going to have a function called mind for example i'm going to use your spare cpu and i don't care about the environment and i'm not paying for electricity that kind of thing obviously don't do this all the university machine but i want to be able to say ok peter head start on my function called mine right now i wouldn't actually write mine like this because this means coal mine instead i need the address of my function and surprisingly if you just give the name of a function then that is actually that actually says ok where is this function or another one perhaps i've got a function which is going to download something in the background so maybe i've got a function called to know download update or does something else useful for me in in the background ok so then i'm just need to somehow to say hey system i've got this function please assign a new cpu to this function and start running it and that's the purpose of pthread create so this creates a new thread and for this we're going to pass in a function where we wanted to start for so it be very strange to say please start from maine instead we're going to write our own function and that's where we'll start ok so how do you then wait for that function to finish for example suppose i had a function that rendered a manageable picture or found me a bitcoin now i want to wait for that to finish before continuing ok so here's how we can do this we can call p thread join	['a thread', 'thread', 'background', 'address', 'system']
ok so think about a typical kind of local call how much work do you have to do so for this we extend the stack ok we put on return address onto the stack so this is the old pc value the program counter this is where we want to go back to after we return we're going to put potentially some parameters on here though for efficiently see today because we can because silicon today is so cheap we may not put all all of the calling parameters onto the stack instead we can pass them directly through registers and that's obviously much faster than writing to to memory in order to store some parameters and we need to change the stack pointer to say hey old stack was just here this other stuff up here and now we've moved down so that if there's local variables we can	['memory', 'parameter', 'address', 'pointer']
ok so think of like to parcel cards so this number is smaller great i'll take this now we build the next number ok so now this number is not as small as the number might from my right hand pile so i'll take that and repeat and eventually we managed to merge these altogether and notice i relied on the recursion fairy to do most of the work so of course this happens at all levels so if i've started with nice big block of data say mb of data then first of all we call recursion ok and so on and so on and that has to be cursively run these ok so how can i now	['block', 'block', 'block', 'block']
ok so this little demo is actually going to finish pretty quickly but in real production code which doesn't finish quickly it's important to make sure that we released everything that we've asked for from the system so in this case we want to free up the memory that we called we used for getline that will either be the original malloc we called or some new memory get line is used an then don't forget our little file handle as well and if we want to be good citizens we could also change our little file pointer here to be null just so no one could use it after that ok like i said there's a kind of overengineered for this small amount of code but i hope you understand the intent behind it right so can we run this ok let's let's set up some test examples let's see what we have here let's have a look at some little problems little examples scripts i've got here i've got one which	['memory', 'code', 'system', 'pointer']
ok so up here to be the same we're going to look at the device id of a special file but don't worry about that instead this is how we can find out the true size of a file in bytes and rather than being just say an unsigned long or size today we want to be able to work with extremely large files so this special type here there's off underscored t is designed to be large enough that should be big enough for any files and we want to store inside this for today and in the future right so here is s t size so that's kind of useful but perhaps you actually care about how many how much space is currently being used on the disk so the disk itself i've talked about four kilobyte blocks but	['block', 'type', 'block', 'type']
ok so we call fork and now we're trying to wait a little bit more kind of robust code here because we actually checking for the error condition and if it fails do not pass go do not do not attempt to call fork again and instead immediately exit so for can be very dangerous if like agent smith in the matrix movies you allow every process to make more process is as fast as possible so be extremely careful that day that you start writing code we're fork is inside the loop and one day then that they will count when you create a shell where you are reading every line of input in order to run that as a process	['the loop', 'a shell', 'code', 'a process']
ok so we didn't need a definition for deadlock and this idea that our our threads are frozen up maybe one thread is waiting for a mutex lock that is never going to be unlocked maybe we're waiting for something from a data structure which is never going to be given to us so here's a general definition for dead log key	['a struct', 'a mutex', 'thread', 'a struct', 'a mutex', 'thread', 'a struct', 'a mutex', 'thread', 'a struct', 'a mutex', 'thread', 'a struct', 'a mutex', 'thread']
ok so we're going to call start and that's the last thing is the parameter value that is going to be passed in when we do finally get round to starting a new thread will go in here so that null is going to be the value of this pointer if i'd said something else like an address of a variable again that void pointer would have taken that address ok so great we're starting three threads and then after that loop we're going to call it p thread exit and as you know what does p thread exit do is the point of no return it's the one way ticket to oblivion for my poor little thread and in this case i'm doing it on the main thread which means that we will never return from this call that's the end of the line for this cpu here executing the main thread which means of course we won't actually return from maine which means that we won't exit the process at that point so instead my process is going to continue until all my other threads are completed	['parameter', 'thread', 'address', 'pointer']
ok so we've got our struct now let's think about how we can use it when we're running the program we need to keep track of our little linked list so for that let's have a variable here called head here i can sort it right so we're going to see a reference to that and what is it it's a pointer to little struck that we just defined above we've also declared this variable to be static and what static does is it hides the variables so that only the code i write inside this compilation unit in other words inside the dot c file that i'm currently writing will actually see this variable so that's the safety measures just in case you decide to have a global variable called head as well then there actually referring to do different variables and it also ensures that my implementation details aren't going to leak out into the rest of the code right so i've got my global variable and initially of course i don't have anything allocated now let's think about how we want to implement malloc here's our plan malloc is going to do two things first of all let's walk through our apartment complex and see if we have any available apartments which are large enough and available to satisfy the request for the so many bytes that we need if that fails then we'll go back to the system and say timetable be some some more heap memory please and for that will use sbrk so will only happen in our plan b we going to go there if we cannot find useful piece of space to be allocated earlier that is now free ok so let's have a look at that	['heap memory', 'memory', 'code', 'system', 'pointer']
ok so we've got this general definition of deadlock now actually let's see if we can kind of construct some examples where we actually cause it so let's use team mutex locks and two threads to create an example of deadlock ok bye i'm going to actually do this in a text editor ok	['thread', 'thread', 'thread', 'thread', 'thread']
ok so we've kind of talked a little bit about this idea before so it could i implement p thread mutex lock just by disabling interrupts on on the cpu so the idea here is that if my code is running on the cpu if i disable interrupts then i cannot be stopped become agent smith out of the matrix that now i own the cpu so no one else can can take it for me so one of the limitations of this first of all that yes we can ensure that we're the only ones going into the critical section if one there is only one cpu	['code', 'section', 'thread', 'code', 'section', 'thread', 'code', 'section', 'thread', 'code', 'section', 'thread', 'code', 'section', 'thread', 'code', 'section', 'thread']
ok so what's the fix and why did this occur what the answer that we actually have to understand how shar two fifty six works and in fact if we would read the man pages we would discover that we could have passed in a point to some memory and if we made that memory unique to each thread then we would have had threadsafe code so let's look at quick look at the solution here so the solution is to get some space on the stack and remember each thread is going to have its own stack and passed a pointer to that for short two fifty six core and if we do that now we have thread safe code so i guess also takeaway message here is you have to fully understand the syst[em] calls that you're using if you want to write threadsafe code and then that's it that's the other elected by	['memory', 'code', 'thread', 'pointer']
ok the second is that i require an here's a big problem here is that actually require sufficient privileges to disable the interrupts and because this is such a powerful operation by default that is disabled for normal user programs we need interrupts in order to make a cpu stop running one thread and start running another in order to handle hardware interrupt you too do to devices iot devices being ready to either take data from the system or give data from the system for example the network card might report that her new packages arrived and here's some data or a disk or solid state disk might report hey i've now finally got the data you can now read this into memory or gpu might ask for more memory more data so there's lots	['memory', 'thread', 'system', 'memory', 'thread', 'system', 'memory', 'thread', 'system', 'memory', 'thread', 'system', 'memory', 'thread', 'system', 'memory', 'thread', 'system']
ok this is the whole story now there's a few little lies inside this story ok so what are the lies first of all that when we load libraries like the c library or if we were doing open gl sound library we need to put those in memory as well so in practice they will actually live between these where we dynamically load libraries so we might put other stuff in the side there also the idea that the heap is actually just one contiguous block of memory later on will axe that model and if you say to malloc hey malloc i'd like four gigabytes of memory actually it's going on a modern machine going to find a different space for such a large allocation ok but more little other light is that in the future we'll talk about threats and each thread will need to own stack but less live in a cozy world right now where we just got a single stack a single heap area and as we make more complicated programs these are going to expand my heap expands as i keep calling malik and i never call free my stack expands downwards as eyes for example keep making lots of recursive calls right so you'll learn more about stack and how we represent things on the stack	['memory', 'the heap', 'block', 'thread']
ok we can put any data we like inside there and by default the total amount of memory allocated to this is g asked sufficient for what we need ok but what about the day you call malloc and say hey my malloc i need another four thousand and ninety six bytes please this point we need need to go back to the operating system to the kernel and beg for some more van back for some more real addresses we don't want to talk to the oblivion we don't want to avoid we actually need those memory addresses now to refer to some actual memory and that's the purpose of s break is to say yes i know i've got my heap possibly say zero bytes at the beginning but that's not enough now i need to extend it so i please i'd like to move this watermark upwards say by two hundred fifty six bytes so that now i've got some more addresses i can play with i can use to hold some data so that's one less pack gives you an ability to turn on like a tap some more some more dresses which are valid ok we just keep extending this space here and we can use that then to implement possibly the world 's worst but simplest allocator so let's have a look in a moment then how we could actually use this to implement malloc are you ready are slow you in the next video bye	['memory', 'address', 'system', 'memory', 'address', 'system', 'memory', 'address', 'system']
ok we're pointing at one character but you and i know that actually we're going to point one memory address for the character but then the remaining characters then remaining bytes can be used for more characters we have whole c string and rather than just passing where that pointer points to we very sneakily are going to say hey tell me the address of this variable because i'm going to change this address to actually	['memory', 'string', 'address', 'pointer']
ok, so let's have a look at the code that's currently being given. i have a feeling there might be a mistake or two. right, so while asterisks pointer, in other words, follow that variable. let's have a go and look at what's actually inside that memory. this is very common with pointers. what do we want to do? we actually want to go and see what they're pointing at. so this looks like it's trying to check to see if there's a zero byte there, because if we get to the zero byte, great! we know that we've reached the end of this c string. [indistinct words] the reasonable request. ok, what's going on here? inside this loop, destination equals source. wait a moment! that is just copying the value inside these variables. in other words, we're not reaching out to that memory. instead, we are just changing dest	['memory', 'code', 'string', 'pointer']
"ok, so maybe you know about threats so great you are able to chunk up the work into different jobs so that each thread is responsible for the output of the total result and so you need each thread to work independently. """"""great!"""" you say. """"i remember those from cs241"" ""to the rescue."""" that now i can tell my first thread to"" explicitly write its results into the first part of the file meanwhile the second thread over here is starting to generate results as well and so it can start writing bits of data over here, and we can explicitly say where in the file we want that to go. so yep, there's pee right and there's also period which does a similar thing that you can read from a certain part of the file and directly specify an offset into the file. ok, so they are very useful when you want to do random access and random reads into file but also later inside cs241 we're going to learn how to 'memory map' files directly into memory where we no longer even need to call read and write but we can actually look at the file as if it is actually part of our address space. so that's coming up later inside cs241 and it's the most one of the most far and most powerful features of posix and system programming that you'll see in this course. ok, so the will do what's ""a named pipe?"""" ok, how do i make a named pipe? for this you"" can actually make pipes on your file system. you can just say make vivo because they behave as a little 'first in first out' queue. so ""let's call it say ok, and now if you look on the current directory you will see there's something called 'myq.' so here it is. looks a bit like a file right now but let's find out some more information about it. ok and you'll see i've got a magic letter over here that actually it's ""a queue"""" so i can put stuff into it let's say helico hello"" pipe that into my queue."	['memory', 'thread', 'address', 'system']
okie right so we scared out some ideas here as you can see it's kind of tricky to keep everything in mind you have to keep very clear idea about what your data structures look going to look like in memory and don't make any mistakes with pointer arithmetic so get it working first with a simple idea and then proceed slowly as you try to kind of optimize your code when things are working make sure you commit your code so you've always got something to go back to and also as a way to be able to discover early on when you've made a breaking change rather than writing hundreds of lines of code and they're wondering where the error was so so test early and test often alright where that asks you in the next video bye	['memory', 'a struct', 'code', 'pointer']
on a different thread an oh dear both of them are now trying to use the same piece of static memory so one hour is going to override the other one right so this kind of common with some of the earlier calls inside posix that they weren't built with with threads in mind and so threat support the ability to work with multiple threads has kind of been reverse engineered back into some of these api calls so stroit error itself with this underscore r will discover actually	['memory', 'thread', 'memory', 'thread', 'memory', 'thread', 'memory', 'thread']
on the stack, so [the] data itself represents 8 bytes on the stack so right just here we are passing in an address on the stack of this calling function of the thread that originally ran this code case. so that sounds pretty dangerous right we're actually saying, right, inside this array you want to pass in the address of this five just here using pointer arithmetic	['code', 'thread', 'address', 'pointer']
once i've called free. so in c, we have to think carefully about when we allocate memory and when we free memory. this is of course challenging, but hey, challenges are good for you. plus if you actually do this carefully, you can make your programs run quite quickly if you are aware of when memory allocation occurs. memory is a very precious resource on systems, and also allocating memory is a slow slow process. so this is one reason why many interpreted languages are quite slow, simply because of the number of allocations and deallocations that we're doing on the heap all the time.	['memory', 'memory allocation', 'the heap', 'system']
or how much capacity is left s two is initialized to zero so that's counting the number of things we've actually got inside the buffer right now and then we've got lots of threads producing things and consuming things as well ok so here's some questions that we might want to ask in sort of code review first of all can we find a way that deadlock can occur in other words when good it actually get stuck and if so under what conditions could it be for example when it gets completely full or completely empty is underflow possible meaning that is it possible for d q to return something even though we don't actually have anything inside the buffer right now in other words it will just return some multivalue that happens to be stored inside the buffer	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
or maybe it's some data structure but whatever it is we have this idea that only one process or thread at a time can access it now i'm going to use the word process that's kind of historical reference in the sense that we thought about these things even with four threads exist but you could imagine how we could set up identical situations to multiple threads running inside just one process so it's the concept is the theory which is the most important idea here ok so what do i got in question one i've got my first process p one requests and obtains resource a and then resource be ok so let's set up process one here ok process one	['a struct', 'thread', 'a struct', 'thread']
or you will find examples where the chunks are slightly smaller and also we can talk about blocks or super block such a much larger today but let's let's concentrate on this main convention here so in other words i'm throwing around four thousand ninety six bytes anytime i want to load or read something from the disk so you've probably been talking about kind of cache lines and this idea that if you make a request in main memory	['memory', 'block', 'memory', 'block']
other servers my server might send an xml message in order to confirm that booking or in order to find out if an airplane has some some seats between two destinations that are at a certain price point for example ok so xml is very kind of popular as interchange format for kind of finance and booking applications now quick comment is that you don't need to write your own json parser your xml pauses today of course there's plenty of library code out there that will do this for you some of them will give you events based on each time they see a new tag others will read the whole thing into memory and creates what's called a dom document object model module which is great for a kind of small message is not so great if your dom is huge and then you can iterate through that by asking a dom to say find a particular child of a certain type one last thing is you'll notice that each element we have here we can actually have water cord attributes case so we've talked about elements which are the items we actually find insight memory each element may have kind of attributes the difference between an element and a tag is the tag is the actual piece of string that we've written here the actor going to bite sequence that we needed to actually describe the elements ok so the tag is the actual thing with the open and close	['memory', 'type', 'code', 'string']
over here here's my mutex lock it's now got one in but the value that q it now has is zero so it escapes out of this loop and can continue so that first they can go into his critical section meanwhile as second thread calls mutex lock ok what happens to it well its own value of q is one and then it calls exchange right but it's just going to exchange a value of one with one because that's what's already inside the mutex log so now it reads a value of what again so what's it doing it goes around the loop again continuously trying to get rid of this hot potato right so it's like i've got a one oh what do i do i'm going to keep calling exchange i'm going to keep trying to push it into the mutex lock	['the loop', 'section', 'thread', 'exchange']
p thread mutex lock k and we're going to say please lock on this first mutex and then after you've done that please lock on this other mutex right so it will do some work ok do something and then after that we want to at least ok so we will call p thread unlock on both of these mutex is ok	['thread', 'thread', 'thread', 'thread', 'thread', 'thread']
physical memory and divided it up into these chunks into these rammed into these disk sorry into these memory blocks here and we needed to do things like say well these bytes right now i don't care about no one seems to be using word to paginate tables so all that code inside here is just wasting ram so why don't i evict it out of my memory meanwhile i've got some other stuff that i would like to have inside my ram inside my memory so i want to page that into from disk into memory maybe it's some code that i now need maybe it's part of a data structure that i haven't needed for several minutes	['memory', 'block', 'a struct', 'code']
physical memory and divided it up into these chunks into these rammed into these disk sort into these memory blocks here and we needed to do things like say well these bites right now i don't care about no one seems to be using word to paginate tables so all that code inside here is just wasting ram so why don't i evicted out of my memory meanwhile i've got some other stuff that i would like to have inside my ram inside my memory so i want to page that into from disk into memory maybe it's some code that i now need maybe it's part of a data structure that i haven't needed for several minutes	['memory', 'block', 'a struct', 'code']
push and pop in a tight loop and we called it for ten thousand times so empirically we've shown that maybe if there's a likelihood of it failing we've at least tested it to the kind of point one percent level but is that is that is that does that give me confidence to put this into production no i'd actually want to kind of actually do a code review and think carefully about how my code works so so in multithreaded code it's a very important we have strong understanding about how our code works and rather than just simple going to lightweight testing and say oh yeah great pistol work if we actually want to use this code and trust it on our game or driving a car or an aircraft or website which is going to make our livelihood we actually want to be confident that we've got this multithreaded coding correct ok that's it for now bye	['code', 'thread', 'code', 'thread', 'code', 'thread']
push say ten thousand times but we're actually going to do that with two threads and then i've got a consumer method that is going to call pop twenty thousand times is just one of those today so let's check that we actually get all values of all the double values that we pushed in so we know that we know that we're going to push in the	['thread', 'thread', 'thread', 'thread']
remember that actually when we return from the function all we need to do is just change our stack pointer to go back to the previous area and change a return value so that's why stack variables are so much faster to allocate and deallocate compared to variables on the heap there's so little work to be done with just change change the pc register and everything 's gone so great we've got an idea of a thread of execution and we could trace this through our program so if i want to make a second thread if i want another cpu core to be running at the same time then i'm going to need space inside my memory for another thread and so each thread then it's going to get its own stack right and these are inside the same memory address space but they're going to be separated by say megabyte or so so they don't collide ok and then the last quite common is why do they call it the thread of execution is because literally you could draw a line you could thread through where my cpu is currently acting so if i had a function called x and inside x we called say f two and inside f two there was a moment that called f the function below we could trace this we could say i look this is the history of my cpu it's common to hear it's currently in this step so literally could paint a picture	['memory', 'the heap', 'a thread', 'thread', 'address', 'pointer']
reserve some memory on the heap and return a pointer that ok so we just have to put in asprintf keep going down here here it is you'll see that it takes a pointer to a pointer so now with asprintf we actually say ok here's the result my result variable and	['memory', 'the heap', 'printf', 'pointer']
right and i've got a public counter global variable you can see i'm incrementing it inside this function and each thread that i'm going to create down here inside my main is going to run this code for a million times right so with that in mind what do you think it's going to do it i will tell you the answer that in the next lecture but why don't you pause this right now and make your prediction by	['code', 'thread', 'code', 'thread', 'code', 'thread']
right but we're giving it this string so actually t one is going to hold the memory dress of that age is going to point directly into the text segment is going to hold that memory address which between you and me is going to be a low value the text segment is it near the beginning of the processes memory now there's a surprise however with t two t two is not a pointer is actually an away we didn't bother to specify the size because the compiler can work that out itself and the surprise here is actually the compiler is going to write some extra code for us here because rather than just looking at that string	['memory', 'code', 'string', 'address', 'pointer']
right great ok so unless some implement a stack and will implement stack but is bounded by two things first of all you'll see that i data store here my little array here can only handle ten items also we can't pull anything from the stack if my stack is empty so now push and pop methods need to block if they are unable to continue right so let's let's have a good figure out how we're going to implement this first of all let's just pretend that with i cs two twenty five or some other course right and right than on the single threaded version ok so what are we going to have we're going to have things like the push method will be take my data structure my ray and after i've used the value of n increment it and density equal to be ok right what else you want to do so for multithreaded code i need to make sure that i'm the only person using this value of end otherwise two threads might call this code at the same time and both right into the same slot the same entry inside the away so less using mutex lock for that so we're definitely going to need mutex lock	['block', 'a struct', 'code', 'thread', 'block', 'a struct', 'code', 'thread', 'block', 'a struct', 'code', 'thread', 'block', 'a struct', 'code', 'thread']
right so anything else you want to say about this yeah and realize that look i can have some heat memory in here i could call malloc from one thread i could have some global variables just beneath that and all of my threads can refer to these things that just memory addresses it's up to you how you store these memory addresses where you use them so all of my threads could see my constants like hello tomato so let me put tomorrow in here somewhere down here but near the code if i'd made some malloc memory i could have passed that address to my threads all they need adjust addresses and they could happily use them so one thread can even see the stack memory of another thread there that isn't always a safe thing to do and i'll let you work out why so	['memory', 'code', 'thread', 'address']
right so great we've implemented that now actually let's have to think about how we can implement the firework right so what does r firework do k right well we acquire the mutex lock i might impede here just for for sure had so we've got we've got the mutex lock and all threads that run this code again to acquire the same lock	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
